date,division,index
2020-01-01,overall,123.1
2020-02-01,overall,123.1
2020-03-01,overall,121.9
2020-04-01,overall,118.8
2020-05-01,overall,119.1
2020-06-01,overall,120.2
2020-07-01,overall,120.8
2020-08-01,overall,120.9
2020-09-01,overall,120.8
2020-10-01,overall,120.9
2020-11-01,overall,120.7
2020-12-01,overall,121.4
2021-01-01,overall,122.7
2021-02-01,overall,123.1
2021-03-01,overall,123.5
2021-04-01,overall,123.6
2021-05-01,overall,123.6
2021-06-01,overall,123.7
2021-07-01,overall,123.0
2021-08-01,overall,123.1
2021-09-01,overall,123.4
2021-10-01,overall,124.3
2021-11-01,overall,124.7
2021-12-01,overall,125.3
2022-01-01,overall,125.8
2022-02-01,overall,126.0
2022-03-01,overall,126.2
2022-04-01,overall,126.4
2022-05-01,overall,127.2
2022-06-01,overall,127.9
2022-07-01,overall,128.3
2022-08-01,overall,128.6
2022-09-01,overall,128.8
2022-10-01,overall,129.1
2022-11-01,overall,129.6
2022-12-01,overall,129.8
2023-01-01,overall,130.2
2023-02-01,overall,130.7
2023-03-01,overall,130.8
2023-04-01,overall,130.7
2023-05-01,overall,131.2
2023-06-01,overall,131.3
2023-07-01,overall,131.4
2023-08-01,overall,131.6
2023-09-01,overall,131.7
2023-10-01,overall,131.7
2023-11-01,overall,131.8
2023-12-01,overall,132.0
2024-01-01,overall,132.3
2024-02-01,overall,132.9
2024-03-01,overall,133.0
2024-04-01,overall,133.1
2024-05-01,overall,133.5
2024-06-01,overall,133.7
2024-07-01,overall,133.7
2024-08-01,overall,133.8
2024-09-01,overall,133.8
2024-10-01,overall,133.9
2024-11-01,overall,133.9
2024-12-01,overall,134.1
2025-01-01,overall,134.2
2025-02-01,overall,134.7
2025-03-01,overall,134.7
2025-04-01,overall,134.7
2025-05-01,overall,134.9
2025-06-01,overall,135.0
2025-07-01,overall,134.8
2025-08-01,overall,135.0
2025-09-01,overall,135.3
2025-10-01,overall,135.2
2025-11-01,overall,135.2
2025-12-01,overall,135.6
2026-01-01,overall,135.8
2026-02-01,overall,136.2
2026-03-01,overall,136.3
2020-01-01,01,132.5
2020-02-01,01,132.6
2020-03-01,01,132.3
2020-04-01,01,132.0
2020-05-01,01,132.4
