date,division,index,description
1/1/2020,overall,123.1,All items
2/1/2020,overall,123.1,All items
3/1/2020,overall,121.9,All items
4/1/2020,overall,118.8,All items
5/1/2020,overall,119.1,All items
6/1/2020,overall,120.2,All items
7/1/2020,overall,120.8,All items
8/1/2020,overall,120.9,All items
9/1/2020,overall,120.8,All items
10/1/2020,overall,120.9,All items
11/1/2020,overall,120.7,All items
12/1/2020,overall,121.4,All items
1/1/2021,overall,122.7,All items
2/1/2021,overall,123.1,All items
3/1/2021,overall,123.5,All items
4/1/2021,overall,123.6,All items
5/1/2021,overall,123.6,All items
6/1/2021,overall,123.7,All items
7/1/2021,overall,123,All items
8/1/2021,overall,123.1,All items
9/1/2021,overall,123.4,All items
10/1/2021,overall,124.3,All items
11/1/2021,overall,124.7,All items
12/1/2021,overall,125.3,All items
1/1/2022,overall,125.8,All items
2/1/2022,overall,126,All items
3/1/2022,overall,126.2,All items
4/1/2022,overall,126.4,All items
5/1/2022,overall,127.2,All items
6/1/2022,overall,127.9,All items
7/1/2022,overall,128.3,All items
8/1/2022,overall,128.6,All items
9/1/2022,overall,128.8,All items
10/1/2022,overall,129.1,All items
11/1/2022,overall,129.6,All items
12/1/2022,overall,129.8,All items
1/1/2023,overall,130.2,All items
2/1/2023,overall,130.7,All items
3/1/2023,overall,130.8,All items
4/1/2023,overall,130.7,All items
5/1/2023,overall,131.2,All items
6/1/2023,overall,131.3,All items
7/1/2023,overall,131.4,All items
8/1/2023,overall,131.6,All items
9/1/2023,overall,131.7,All items
10/1/2023,overall,131.7,All items
11/1/2023,overall,131.8,All items
12/1/2023,overall,132,All items
1/1/2024,overall,132.3,All items
2/1/2024,overall,132.9,All items
3/1/2024,overall,133,All items
4/1/2024,overall,133.1,All items
5/1/2024,overall,133.5,All items
6/1/2024,overall,133.7,All items
7/1/2024,overall,133.7,All items
8/1/2024,overall,133.8,All items
9/1/2024,overall,133.8,All items
10/1/2024,overall,133.9,All items
11/1/2024,overall,133.9,All items
12/1/2024,overall,134.1,All items
1/1/2025,overall,134.2,All items
2/1/2025,overall,134.7,All items
3/1/2025,overall,134.7,All items
4/1/2025,overall,134.7,All items
5/1/2025,overall,134.9,All items
6/1/2025,overall,135,All items
7/1/2025,overall,134.8,All items
8/1/2025,overall,135,All items
9/1/2025,overall,135.3,All items
10/1/2025,overall,135.2,All items
11/1/2025,overall,135.2,All items
12/1/2025,overall,135.6,All items
1/1/2026,overall,135.8,All items
2/1/2026,overall,136.2,All items
3/1/2026,overall,136.3,All items
1/1/2020,1,132.5,Food & Beverages
2/1/2020,1,132.6,Food & Beverages
3/1/2020,1,132.3,Food & Beverages
4/1/2020,1,132,Food & Beverages
5/1/2020,1,132.4,Food & Beverages
6/1/2020,1,133.1,Food & Beverages
7/1/2020,1,133,Food & Beverages
8/1/2020,1,133.2,Food & Beverages
9/1/2020,1,133,Food & Beverages
10/1/2020,1,133.2,Food & Beverages
11/1/2020,1,133,Food & Beverages
12/1/2020,1,133.8,Food & Beverages
1/1/2021,1,134.2,Food & Beverages
2/1/2021,1,134.2,Food & Beverages
3/1/2021,1,134.2,Food & Beverages
4/1/2021,1,134.7,Food & Beverages
