date,group,index,category,sub-category
1/1/2020,1,141.4,Food & Non-Alcoholic Beverages,Food away from home
1/1/2020,11,131.2,Food & Non-Alcoholic Beverages,Food at home
1/1/2020,12,112.7,Food & Non-Alcoholic Beverages,Non-alcoholic beverages
1/1/2020,21,108.3,Alcohol & Tobacco,Alcoholic beverages
1/1/2020,23,183.7,Alcohol & Tobacco,Tobacco
1/1/2020,31,96.1,Clothing & Footwear,Clothes
1/1/2020,32,82.8,Clothing & Footwear,Shoes
1/1/2020,41,126.4,"Housing, Water, Electricity, Gas & Other Fuels",Actual rentals for housing
1/1/2020,43,126.1,"Housing, Water, Electricity, Gas & Other Fuels","Maintenance, repair & security of the dwelling"
1/1/2020,44,104.9,"Housing, Water, Electricity, Gas & Other Fuels",Water supply & miscellaneous services relating to the dwelling
1/1/2020,45,107.4,"Housing, Water, Electricity, Gas & Other Fuels","Electricity, gas & fuel"
1/1/2020,51,115.8,Furnishings & Household Equipment,"Furniture, furnishings & loose carpets"
1/1/2020,52,92.1,Furnishings & Household Equipment,Household textiles
1/1/2020,53,105.8,Furnishings & Household Equipment,Household appliances
1/1/2020,54,107.9,Furnishings & Household Equipment,"Glassware, tableware & household utensils"
1/1/2020,55,107.6,Furnishings & Household Equipment,Tools & equipment for house & garden
1/1/2020,56,125.3,Furnishings & Household Equipment,Goods & services for routine household maintenance
1/1/2020,61,119.5,Health,Medicines & health products
1/1/2020,62,138.3,Health,Outpatient care services
1/1/2020,63,120.1,Health,Inpatient care services
1/1/2020,64,116,Health,Others health services
1/1/2020,71,96.2,Transport,Purchase of vehicles
1/1/2020,72,118.7,Transport,Operation of personal transport equipment
1/1/2020,73,117.5,Transport,Passenger transport services
1/1/2020,74,,Transport,Transport services of goods
1/1/2020,81,58.6,Communication,Information & communication equipment
1/1/2020,83,102.4,Communication,Information & communication services
1/1/2020,92,102.2,Recreation & Culture,Other recreational goods
1/1/2020,93,114.9,Recreation & Culture,Garden products & pets
1/1/2020,94,121.2,Recreation & Culture,Recreational services
1/1/2020,95,102.3,Recreation & Culture,Cultural goods
1/1/2020,96,124.2,Recreation & Culture,Cultural services
1/1/2020,97,113.6,Recreation & Culture,Newspapers & periodicals
1/1/2020,98,130.5,Recreation & Culture,Package holidays
1/1/2020,101,125.2,Education,Pre primary & primary education
1/1/2020,102,118.2,Education,Secondary education
1/1/2020,103,114.7,Education,Post-secondary non-tertiary education
1/1/2020,104,114.9,Education,Tertiary education
1/1/2020,105,117.5,Education,Education not defined by level
1/1/2020,111,136.2,Restaurants & Accommodation,Food & beverage preparation services
1/1/2020,112,104.5,Restaurants & Accommodation,Accommodation services
1/1/2020,121,109.8,Miscellaneous Goods & Services,Insurance
1/1/2020,122,103.8,Miscellaneous Goods & Services,Explicit charges by deposit-taking corporations
1/1/2020,131,115.3,Other Services,Personal care
1/1/2020,132,123.2,Other Services,Other personal item
1/1/2020,133,129.6,Other Services,Social protection
1/1/2020,139,119.9,Other Services,Other services
1/2/2020,1,141.7,Food & Non-Alcoholic Beverages,Food away from home
1/2/2020,11,131.1,Food & Non-Alcoholic Beverages,Food at home
1/2/2020,12,113,Food & Non-Alcoholic Beverages,Non-alcoholic beverages
1/2/2020,21,108.6,Alcohol & Tobacco,Alcoholic beverages
1/2/2020,23,183.7,Alcohol & Tobacco,Tobacco
1/2/2020,31,96.2,Clothing & Footwear,Clothes
1/2/2020,32,82.7,Clothing & Footwear,Shoes
1/2/2020,41,126.9,"Housing, Water, Electricity, Gas & Other Fuels",Actual rentals for housing
1/2/2020,43,126.2,"Housing, Water, Electricity, Gas & Other Fuels","Maintenance, repair & security of the dwelling"
1/2/2020,44,104.9,"Housing, Water, Electricity, Gas & Other Fuels",Water supply & miscellaneous services relating to the dwelling
1/2/2020,45,107.4,"Housing, Water, Electricity, Gas & Other Fuels","Electricity, gas & fuel"
1/2/2020,51,115.9,Furnishings & Household Equipment,"Furniture, furnishings & loose carpets"
1/2/2020,52,92.2,Furnishings & Household Equipment,Household textiles
