state,date,division,index
Johor,1/1/2020,overall,126.2
Johor,2/1/2020,overall,126
Johor,3/1/2020,overall,124.3
Johor,4/1/2020,overall,120.5
Johor,5/1/2020,overall,120.8
Johor,6/1/2020,overall,122.3
Johor,7/1/2020,overall,123.1
Johor,8/1/2020,overall,123.2
Johor,9/1/2020,overall,123.1
Johor,10/1/2020,overall,123.1
Johor,11/1/2020,overall,123
Johor,12/1/2020,overall,123.5
Johor,1/1/2021,overall,125.2
Johor,2/1/2021,overall,125.7
Johor,3/1/2021,overall,126.2
Johor,4/1/2021,overall,126.4
Johor,5/1/2021,overall,126.3
Johor,6/1/2021,overall,126.5
Johor,7/1/2021,overall,125.7
Johor,8/1/2021,overall,125.7
Johor,9/1/2021,overall,126
Johor,10/1/2021,overall,126.9
Johor,11/1/2021,overall,127.3
Johor,12/1/2021,overall,127.7
Johor,1/1/2022,overall,128
Johor,2/1/2022,overall,128.1
Johor,3/1/2022,overall,128.7
Johor,4/1/2022,overall,129
Johor,5/1/2022,overall,130
Johor,6/1/2022,overall,131.2
Johor,7/1/2022,overall,131.6
Johor,8/1/2022,overall,131.8
Johor,9/1/2022,overall,131.9
Johor,10/1/2022,overall,131.9
Johor,11/1/2022,overall,132.6
Johor,12/1/2022,overall,132.7
Johor,1/1/2023,overall,132.9
Johor,2/1/2023,overall,133.4
Johor,3/1/2023,overall,133.4
Johor,4/1/2023,overall,133.3
Johor,5/1/2023,overall,133.5
Johor,6/1/2023,overall,133.7
Johor,7/1/2023,overall,133.8
Johor,8/1/2023,overall,134.1
Johor,9/1/2023,overall,134.2
Johor,10/1/2023,overall,134.2
Johor,11/1/2023,overall,134.3
Johor,12/1/2023,overall,134.6
Johor,1/1/2024,overall,134.9
Johor,2/1/2024,overall,135.4
Johor,3/1/2024,overall,135.4
Johor,4/1/2024,overall,135.4
Johor,5/1/2024,overall,136
Johor,6/1/2024,overall,136.4
Johor,7/1/2024,overall,136.4
Johor,8/1/2024,overall,136.5
Johor,9/1/2024,overall,136.6
Johor,10/1/2024,overall,136.8
Johor,11/1/2024,overall,136.8
Johor,12/1/2024,overall,137
Johor,1/1/2025,overall,137.4
Johor,2/1/2025,overall,138.3
Johor,3/1/2025,overall,138.2
Johor,4/1/2025,overall,138.4
Johor,5/1/2025,overall,138.4
Johor,6/1/2025,overall,138.5
Johor,7/1/2025,overall,138.9
Johor,8/1/2025,overall,139.2
Johor,9/1/2025,overall,139.4
Johor,10/1/2025,overall,139.4
Johor,11/1/2025,overall,139.4
Johor,12/1/2025,overall,140.1
Johor,1/1/2026,overall,140.3
Johor,2/1/2026,overall,140.6
Johor,3/1/2026,overall,140.9
Kedah,1/1/2020,overall,120.2
Kedah,2/1/2020,overall,120.1
Kedah,3/1/2020,overall,118.5
Kedah,4/1/2020,overall,114.6
Kedah,5/1/2020,overall,115
Kedah,6/1/2020,overall,116.4
Kedah,7/1/2020,overall,117.2
Kedah,8/1/2020,overall,117.3
Kedah,9/1/2020,overall,117.3
Kedah,10/1/2020,overall,117.2
Kedah,11/1/2020,overall,116.9
Kedah,12/1/2020,overall,117.6
Kedah,1/1/2021,overall,119.3
Kedah,2/1/2021,overall,119.8
Kedah,3/1/2021,overall,120.3
Kedah,4/1/2021,overall,120.5
Kedah,5/1/2021,overall,120.5
Kedah,6/1/2021,overall,120.5
Kedah,7/1/2021,overall,119.7
Kedah,8/1/2021,overall,119.8
Kedah,9/1/2021,overall,119.9
Kedah,10/1/2021,overall,120.9
Kedah,11/1/2021,overall,121.2
Kedah,12/1/2021,overall,121.9
Kedah,1/1/2022,overall,122.1
Kedah,2/1/2022,overall,122.4
Kedah,3/1/2022,overall,122.6
Kedah,4/1/2022,overall,122.8
Kedah,5/1/2022,overall,123.1
Kedah,6/1/2022,overall,123.6
Kedah,7/1/2022,overall,123.9
Kedah,8/1/2022,overall,123.9
Kedah,9/1/2022,overall,124
Kedah,10/1/2022,overall,124.2
Kedah,11/1/2022,overall,124.5
Kedah,12/1/2022,overall,124.6
Kedah,1/1/2023,overall,124.8
Kedah,2/1/2023,overall,125.2
Kedah,3/1/2023,overall,125.2
Kedah,4/1/2023,overall,125.3
Kedah,5/1/2023,overall,125.5
Kedah,6/1/2023,overall,125.6
Kedah,7/1/2023,overall,125.7
Kedah,8/1/2023,overall,125.7
Kedah,9/1/2023,overall,125.8
Kedah,10/1/2023,overall,125.8
Kedah,11/1/2023,overall,126
Kedah,12/1/2023,overall,126.2
Kedah,1/1/2024,overall,126.4
Kedah,2/1/2024,overall,126.3
Kedah,3/1/2024,overall,127
Kedah,4/1/2024,overall,127
Kedah,5/1/2024,overall,127.3
Kedah,6/1/2024,overall,127.4
Kedah,7/1/2024,overall,127.5
Kedah,8/1/2024,overall,127.5
Kedah,9/1/2024,overall,127.5
Kedah,10/1/2024,overall,127.6
Kedah,11/1/2024,overall,127.5
Kedah,12/1/2024,overall,127.4
Kedah,1/1/2025,overall,127.6
Kedah,2/1/2025,overall,127.9
Kedah,3/1/2025,overall,127.8
Kedah,4/1/2025,overall,128.1
Kedah,5/1/2025,overall,128
Kedah,6/1/2025,overall,128.2
Kedah,7/1/2025,overall,128
Kedah,8/1/2025,overall,128.2
Kedah,9/1/2025,overall,128.6
Kedah,10/1/2025,overall,128.3
Kedah,11/1/2025,overall,128.4
Kedah,12/1/2025,overall,128.8
Kedah,1/1/2026,overall,129.1
Kedah,2/1/2026,overall,129.6
Kedah,3/1/2026,overall,130.2
Kelantan,1/1/2020,overall,121.2
Kelantan,2/1/2020,overall,121.1
Kelantan,3/1/2020,overall,119.5
Kelantan,4/1/2020,overall,115.9
Kelantan,5/1/2020,overall,116.2
Kelantan,6/1/2020,overall,117.9
Kelantan,7/1/2020,overall,118.9
Kelantan,8/1/2020,overall,118.9
Kelantan,9/1/2020,overall,118.8
Kelantan,10/1/2020,overall,118.8
Kelantan,11/1/2020,overall,118.6
Kelantan,12/1/2020,overall,119.6
Kelantan,1/1/2021,overall,121.4
Kelantan,2/1/2021,overall,121.9
Kelantan,3/1/2021,overall,122.2
Kelantan,4/1/2021,overall,122.5
Kelantan,5/1/2021,overall,122.7
Kelantan,6/1/2021,overall,122.7
Kelantan,7/1/2021,overall,121.8
Kelantan,8/1/2021,overall,121.8
Kelantan,9/1/2021,overall,122.1
Kelantan,10/1/2021,overall,123.1
Kelantan,11/1/2021,overall,123.4
Kelantan,12/1/2021,overall,124.1
Kelantan,1/1/2022,overall,124.3
Kelantan,2/1/2022,overall,124.5
Kelantan,3/1/2022,overall,124.8
Kelantan,4/1/2022,overall,125
Kelantan,5/1/2022,overall,125.6
Kelantan,6/1/2022,overall,126.2
Kelantan,7/1/2022,overall,126.4
Kelantan,8/1/2022,overall,126.3
Kelantan,9/1/2022,overall,126.5
Kelantan,10/1/2022,overall,126.7
Kelantan,11/1/2022,overall,127
Kelantan,12/1/2022,overall,127.2
Kelantan,1/1/2023,overall,127.4
Kelantan,2/1/2023,overall,127.6
Kelantan,3/1/2023,overall,127.8
Kelantan,4/1/2023,overall,127.9
Kelantan,5/1/2023,overall,127.9
Kelantan,6/1/2023,overall,128
Kelantan,7/1/2023,overall,128.2
Kelantan,8/1/2023,overall,128.2
Kelantan,9/1/2023,overall,128.2
Kelantan,10/1/2023,overall,128.3
Kelantan,11/1/2023,overall,128.1
Kelantan,12/1/2023,overall,128.4
Kelantan,1/1/2024,overall,128.6
Kelantan,2/1/2024,overall,129.2
Kelantan,3/1/2024,overall,129.2
Kelantan,4/1/2024,overall,129.2
Kelantan,5/1/2024,overall,129.4
Kelantan,6/1/2024,overall,129.6
Kelantan,7/1/2024,overall,129.5
Kelantan,8/1/2024,overall,129.4
Kelantan,9/1/2024,overall,129.3
Kelantan,10/1/2024,overall,129.5
Kelantan,11/1/2024,overall,129.3
Kelantan,12/1/2024,overall,129.3
Kelantan,1/1/2025,overall,129.6
Kelantan,2/1/2025,overall,129.8
Kelantan,3/1/2025,overall,129.8
Kelantan,4/1/2025,overall,129.9
Kelantan,5/1/2025,overall,129.8
Kelantan,6/1/2025,overall,129.8
Kelantan,7/1/2025,overall,129.5
Kelantan,8/1/2025,overall,129.5
